,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
51686,1,3.0,3,3
51687,1,3.0,3,3
51688,1,3.0,3,3
51701,1,24.0,24,24
51702,1,24.0,24,24
51703,1,16.0,16,16
51704,1,15.0,15,15
51705,1,15.0,15,15
51706,1,15.0,15,15
51708,1,16.0,16,16
51753,1,28.0,28,28
51754,1,28.0,28,28
51755,1,9.0,9,9
51756,1,9.0,9,9
51763,1,8.0,8,8
51764,1,8.0,8,8
51765,1,8.0,8,8
51766,1,8.0,8,8
51803,1,24.0,24,24
51804,1,24.0,24,24
51805,1,29.0,29,29
51806,1,29.0,29,29
51807,1,18.0,18,18
51811,1,18.0,18,18
51812,1,18.0,18,18
51813,1,36.0,36,36
51814,1,37.0,37,37
51815,1,23.0,23,23
51816,1,23.0,23,23
51817,1,24.0,24,24
51818,1,25.0,25,25
51821,1,4.0,4,4
51822,1,4.0,4,4
51827,1,42.0,42,42
51828,1,42.0,42,42
51829,1,33.0,33,33
51830,1,28.0,28,28
51831,1,23.0,23,23
51832,1,23.0,23,23
51861,1,0.0,0,0
51862,1,0.0,0,0
51863,1,0.0,0,0
51864,1,0.0,0,0
51865,1,0.0,0,0
51866,1,0.0,0,0
51867,1,0.0,0,0
51868,1,0.0,0,0
51869,1,0.0,0,0
51870,1,0.0,0,0
51881,1,12.0,12,12
51882,1,12.0,12,12
51883,1,29.0,29,29
51884,1,29.0,29,29
51885,1,16.0,16,16
51886,1,16.0,16,16
51901,1,29.0,29,29
51902,1,30.0,30,30
51905,1,22.0,22,22
51906,1,14.0,14,14
51907,1,11.0,11,11
51908,1,11.0,11,11
51909,1,34.0,34,34
51910,1,34.0,34,34
51911,1,34.0,34,34
51912,1,34.0,34,34
51913,1,30.0,30,30
51914,1,26.0,26,26
51915,1,10.0,10,10
51916,1,10.0,10,10
51971,1,11.0,11,11
51972,1,11.0,11,11
51973,1,32.0,32,32
51974,1,32.0,32,32
52073,1,13.0,13,13
52074,1,13.0,13,13
52075,1,14.0,14,14
52076,1,14.0,14,14
52171,1,26.0,26,26
52172,1,26.0,26,26
52173,1,13.0,13,13
52174,1,13.0,13,13
52175,1,6.0,6,6
52176,1,5.0,5,5
52177,1,12.0,12,12
52178,1,12.0,12,12
52179,1,7.0,7,7
52180,1,7.0,7,7
52181,1,7.0,7,7
52182,1,3.0,3,3
52183,1,3.0,3,3
52184,1,7.0,7,7
52205,1,11.0,11,11
52206,1,6.0,6,6
52207,1,11.0,11,11
52208,1,11.0,11,11
52221,1,11.0,11,11
52222,1,11.0,11,11
52223,1,11.0,11,11
52224,1,11.0,11,11
52225,1,6.0,6,6
52226,1,11.0,11,11
52229,1,13.0,13,13
52230,1,14.0,14,14
52231,1,13.0,13,13
52232,1,13.0,13,13
52233,1,13.0,13,13
52234,1,14.0,14,14
52235,1,12.0,12,12
52236,1,11.0,11,11
52239,1,4.0,4,4
52240,1,4.0,4,4
52241,1,16.0,16,16
52242,1,16.0,16,16
52251,1,16.0,16,16
52252,1,17.0,17,17
52253,1,16.0,16,16
52254,1,16.0,16,16
52255,1,17.0,17,17
52256,1,16.0,16,16
52257,1,14.0,14,14
52258,1,14.0,14,14
52259,1,14.0,14,14
52260,1,14.0,14,14
52263,1,4.0,4,4
52264,1,4.0,4,4
52265,1,4.0,4,4
52266,1,4.0,4,4
52267,1,4.0,4,4
52268,1,4.0,4,4
52297,1,4.0,4,4
52298,1,4.0,4,4
52451,1,1.0,1,1
52452,1,1.0,1,1
52453,1,10.0,10,10
52454,1,12.0,12,12
52455,1,9.0,9,9
52456,1,8.0,8,8
52457,1,16.0,16,16
52458,1,16.0,16,16
52461,1,15.0,15,15
52462,1,15.0,15,15
52463,1,26.0,26,26
52464,1,25.0,25,25
52465,1,28.0,28,28
52466,1,28.0,28,28
52467,1,28.0,28,28
52468,1,28.0,28,28
52469,1,23.0,23,23
52470,1,21.0,21,21
52471,1,28.0,28,28
52472,1,32.0,32,32
52473,1,32.0,32,32
52474,1,31.0,31,31
52540,1,10.0,10,10
52541,1,10.0,10,10
52570,1,3.0,3,3
52571,1,3.0,3,3
52587,1,3.0,3,3
52588,1,3.0,3,3
52591,1,1.0,1,1
52592,1,1.0,1,1
52593,1,1.0,1,1
52594,1,1.0,1,1
52595,1,1.0,1,1
52596,1,1.0,1,1
52597,1,1.0,1,1
52598,1,1.0,1,1
52599,1,1.0,1,1
52911,1,12.0,12,12
52912,1,12.0,12,12
52913,1,12.0,12,12
52914,1,12.0,12,12
52929,1,15.0,15,15
52930,1,15.0,15,15
52931,1,9.0,9,9
52932,1,9.0,9,9
52933,1,15.0,15,15
52934,1,19.0,19,19
52935,1,18.0,18,18
52938,1,12.0,12,12
52939,1,12.0,12,12
52940,1,18.0,18,18
52941,1,18.0,18,18
52942,1,10.0,10,10
52943,1,10.0,10,10
52944,1,15.0,15,15
52945,1,15.0,15,15
52946,1,15.0,15,15
52947,1,9.0,9,9
52948,1,9.0,9,9
52949,1,10.0,10,10
52950,1,10.0,10,10
52951,1,17.0,17,17
52952,1,17.0,17,17
52953,1,5.0,5,5
52954,1,5.0,5,5
52955,1,10.0,10,10
52956,1,10.0,10,10
52963,1,6.0,6,6
52964,1,6.0,6,6
52973,1,6.0,6,6
52974,1,6.0,6,6
52975,1,6.0,6,6
52976,1,6.0,6,6
52987,1,6.0,6,6
52988,1,6.0,6,6
53001,1,40.0,40,40
53002,1,34.0,34,34
53005,1,15.0,15,15
53006,1,14.0,14,14
53007,1,26.0,26,26
53008,1,27.0,27,27
53009,1,16.0,16,16
53010,1,17.0,17,17
53011,1,13.0,13,13
53012,1,18.0,18,18
53013,1,15.0,15,15
53014,1,15.0,15,15
53015,1,14.0,14,14
53016,1,14.0,14,14
53017,1,15.0,15,15
53018,1,18.0,18,18
53019,1,11.0,11,11
53020,1,13.0,13,13
53021,1,23.0,23,23
53022,1,23.0,23,23
53023,1,9.0,9,9
53024,1,8.0,8,8
53025,1,9.0,9,9
53026,1,9.0,9,9
53027,1,20.0,20,20
53028,1,20.0,20,20
53029,1,40.0,40,40
53030,1,39.0,39,39
53031,1,9.0,9,9
53034,1,9.0,9,9
53035,1,16.0,16,16
53036,1,18.0,18,18
53037,1,12.0,12,12
53038,1,12.0,12,12
53041,1,116.0,116,116
53042,1,105.0,105,105
53043,1,81.0,81,81
53044,1,71.0,71,71
53045,1,19.0,19,19
53046,1,18.0,18,18
53047,1,21.0,21,21
53048,1,21.0,21,21
53049,1,51.0,51,51
53050,1,48.0,48,48
53061,1,48.0,48,48
53062,1,48.0,48,48
53063,1,29.0,29,29
53064,1,29.0,29,29
53068,1,17.0,17,17
53069,1,17.0,17,17
53073,1,20.0,20,20
53074,1,20.0,20,20
53075,1,11.0,11,11
53076,1,11.0,11,11
53081,1,6.0,6,6
53131,1,68.0,68,68
53132,1,68.0,68,68
53137,1,11.0,11,11
53138,1,11.0,11,11
53139,1,16.0,16,16
53140,1,16.0,16,16
53171,1,38.0,38,38
53172,1,36.0,36,36
53175,1,33.0,33,33
53176,1,34.0,34,34
53177,1,27.0,27,27
